date,day,start time,cook time,prep type,helpers,time constraint,exhaustion level
4/19/26,sunday,18:43,27,scratch,0,no,2
4/21/26,tuesday,19:08,18,hybrid,0,yes,4
4/23/26,thursday,19:22,35,scratch,1,no,3
4/26/26,sunday,20:30,15,pre-made,0,yes,4
4/27/26,monday,18:28,36,scratch,1,no,3
4/29/26,wednesday,17:40,21,hybrid,1,no,3
5/2/26,saturday,19:52,41,scratch,1,no,2
5/3/26,monday,19:34,11,pre-made,0,yes,4
5/6/26,tuesday,18:32,20,hybrid,1,no,3
5/7/26,wednesday,18:47,15,hybrid,0,yes,2
5/9/26,saturday,20:09,30,scratch,1,no,3
5/10/26,sunday,20:53,36,hybrid,0,no,2
5/11/26,monday,19:36,14,pre-made,0,yes,4
5/12/26,tuesday,18:43,17,pre-made,0,yes,5
5/13/26,wednesday,19:29,42,scratch,1,no,4
5/15/26,friday,21:04,22,hybrid,1,no,1
5/16/26,saturday,20:36,31,hybrid,1,no,2
5/18/26,monday,19:47,15,hybrid,1,yes,3
5/19/26,tuesday,21:12,10,hybrid,0,yes,4
5/21/26,thursday,18:23,15,pre-made,1,yes,4
5/23/26,saturday,16:55,41,scratch,1,no,3
5/24/26,sunday,17:51,21,hybrid,0,no,3
5/25/26,monday,19:51,21,hybrid,1,no,1
5/27/26,wednesday,19:21,36,scratch,1,no,3
5/28/26,thursday,16:43,10,pre-made,0,yes,4
5/29/26,friday,21:24,18,hybrid,0,no,5
5/30/26,saturday,20:38,13,pre-made,0,yes,2
